No,ID,Last name,First name,Gender,DOB,Social ID
1,19127369,Le,Trung,M,26/01/2002,792011232
2,19127370,Mai,Trung,M,27/01/2002,792011232
3,19127376,Tran,Truong,M,28/01/2002,792011232
4,19127400,Phan,Huy,M,29/01/2002,792011232
5,19127437,Duong,Anh,M,30/01/2002,792011232
6,19127467,Lien,Duc,M,31/01/2002,792011232
7,19127468,Nguyen,Duc,M,01/02/2002,792011232
8,19127501,Ta,Hoa,M,02/02/2002,792011232
9,19127520,Nguyen,Kha,M,03/02/2002,792011232
10,19127530,Nguyen,Khanh,M,04/02/2002,792011232
11,19127572,Le,Nghia,M,05/02/2002,792011232
12,19127575,Huynh,Nguyen,M,06/02/2002,792011232
13,19127576,Nguyen,Nguyen,M,07/02/2002,792011232
14,19127577,Phan,Nguyen,M,08/02/2002,792011232
15,19127583,Nguyen,Nhat,M,09/02/2002,792011232
16,19127584,Tran,Nhat,M,10/02/2002,792011232
17,19127585,Phan,Nien,M,11/02/2002,792011232
18,19127610,Truong,Samuel,M,12/02/2002,792011232
19,19127620,Pham,Tam,M,13/02/2002,792011232
20,19127645,Vo,Tin,M,14/02/2002,792011232
21,19127653,Tran,Trinh,M,15/02/2002,792011232
22,19127659,Nguyen,Tuan,M,16/02/2002,792011232
23,19127660,Phan,Tuan,M,17/02/2002,792011232
24,19127673,Truong,Huy,M,18/02/2002,792011232
25,19127678,Nguyen,Nghia,M,19/02/2002,792011232
