No,ID,Last name,First name,Gender,DOB,Social ID
1,19125040,Dinh,Ngan,M,28/01/2002,792011232
2,19125046,Huynh,Nhu,M,29/01/2002,792011232
3,19125048,Nguyen,Phuong,M,30/01/2002,792011232
4,19125052,Lam,Toan,M,31/01/2002,792011232
5,19125054,Van,Yen,M,01/02/2002,792011232
6,19125058,Nguyen,Hung,M,02/02/2002,792011232
7,19125059,Le,Khoi,M,03/02/2002,792011232
8,19125060,Dinh,Ky,M,04/02/2002,792011232
9,19125067,Luong,Tri,M,05/02/2002,792011232
10,19125068,Thai,Trong,M,06/02/2002,792011232
11,19125069,Tran,Viet,M,07/02/2002,792011232
12,19125081,Vo,Huynh,M,08/02/2002,792011232
13,19125090,Cao,Duy,M,09/02/2002,792011232
14,19125101,Vuong,Luong,M,10/02/2002,792011232
15,19125102,Truong,Minh,M,11/02/2002,792011232
16,19125106,Le,Phi,M,12/02/2002,792011232
17,19125111,Nguyen,Sang,M,13/02/2002,792011232
18,19125117,Nguyen,Tin,M,14/02/2002,792011232
19,19125124,Nguyen,Uyen,M,15/02/2002,792011232
20,19125126,Bui,Bao,M,16/02/2002,792011232
21,19125127,Dao,Dung,M,17/02/2002,792011232
22,19125129,Nguyen,Quoc,M,18/02/2002,792011232
